Protein,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
Q14190,2,0.000109733,2.09E-06,0.245141358,0.000231916
W5RWE1,1,5.49E-05,0,0.235540856,0.000268673
Q9UBI6,3,0.0001646,8.96E-07,0.242563095,0.00039682
P51610-1,2,0.000109733,7.59E-06,0.235866468,0.000269597
Q9NQV5,1,5.49E-05,0,0.235540856,0.000268673
Q658L1,2,0.000109733,2.24E-07,0.237598037,0.000362346
Q9ERP3,2,0.000109733,3.88E-06,0.237694445,0.000273824
Q14195-2,4,0.000219467,6.35E-07,0.235212994,0.000156469
Q14195,5,0.000274333,3.77E-06,0.238617481,0.000163579
Q5TBB1,1,5.49E-05,0,0.207283844,2.46E-05
Q92834-6,2,0.000109733,1.63E-07,0.237974472,0.000166785
Q7L1Q6-2,2,0.000109733,7.23E-08,0.243997762,0.000315588
B2RAF7,2,0.000109733,7.23E-08,0.243997762,0.000315588
P20783-2,1,5.49E-05,0,0.230535331,7.58E-05
Q96DX8,6,0.0003292,1.62E-05,0.249431401,0.000232076
Q14213,1,5.49E-05,0,0.152731861,4.35E-09
Q14232,11,0.000603533,0.000235371,0.270559763,0.001887376
Q01338,1,5.49E-05,0,0.212117548,2.39E-05
P30545,1,5.49E-05,0,0.212117548,2.39E-05
Q7RTY1,3,0.0001646,1.95E-07,0.242512886,0.000270455
Q14244,5,0.000274333,0.000216048,0.229045041,0.000109864
A0A0H3JP21,1,5.49E-05,0,0.185725868,1.39E-06
Q8XBX8,1,5.49E-05,0,0.185725868,1.39E-06
Q14249,2,0.000109733,0.000107752,0.194878395,5.30E-06
Q8WWU7,1,5.49E-05,0,0.162608733,6.72E-08
Q6FHG5,1,5.49E-05,0,0.185336091,6.45E-07
Q9BY42,1,5.49E-05,0,0.203807798,5.15E-06
O70511-7,1,5.49E-05,0,0.203807798,5.15E-06
Q14315-1,1,5.49E-05,0,0.203807798,5.15E-06
Q9BS91,4,0.000219467,2.17E-06,0.227662338,6.75E-05
C5E526,2,0.000109733,3.20E-07,0.23565456,0.000146855
P03431,2,0.000109733,3.20E-07,0.23565456,0.000146855
Q5EP37,2,0.000109733,3.20E-07,0.23565456,0.000146855
Q15746-1,1,5.49E-05,0,0.219435599,1.89E-05
Q14331,5,0.000274333,2.14E-05,0.257557763,0.002308857
Q14332,2,0.000109733,2.12E-05,0.188557529,8.65E-07
Q14393,1,5.49E-05,0,0.210539455,7.09E-06
Q14432,2,0.000109733,0,0.186597497,1.75E-06
Q9Y6D5,5,0.000274333,0.000154821,0.219556224,0.000120913
Q14435,1,5.49E-05,0,0.228405017,5.57E-05
Q8IWV1,3,0.0001646,3.85E-07,0.229902001,0.000178602
Q8IWV1-3,1,5.49E-05,0,0.217679745,3.45E-05
Q8NEB9,6,0.0003292,0.000108813,0.244381172,0.000268032
Q9H714-3,2,0.000109733,7.43E-07,0.239293294,0.000157638
Q2GJL5,1,5.49E-05,0,0.237617313,0.000142437
Q9QUM4,2,0.000109733,0,0.239410651,0.00015241
P89884,1,5.49E-05,0,0.237617313,0.000142437
Q91ZQ0,1,5.49E-05,0,0.237617313,0.000142437
Q14469,1,5.49E-05,0,0.225813541,4.59E-05
Q7Z7F0,29,0.001591134,0.000271135,0.28449684,0.004672259
Q14515,1,5.49E-05,0,0.186775981,1.11E-06
Q14517,3,0.0001646,0.00011336,0.240373389,0.000294074
Q8N8S7,4,0.000219467,6.77E-06,0.228262616,6.02E-05
Q99JP6,1,5.49E-05,0,0.193105353,3.73E-06
Q9Y3B6,3,0.0001646,6.71E-07,0.215422337,4.05E-05
O88712,1,5.49E-05,0,0.193765382,4.41E-06
Q14534,3,0.0001646,9.58E-08,0.239498744,0.000186311
Q14541,1,5.49E-05,0,0.219093637,9.52E-05
Q14623,1,5.49E-05,0,0.16149697,1.27E-08
Q14626,1,5.49E-05,0,0.208619984,1.34E-05
Q09428-1,1,5.49E-05,0,0.187495346,2.38E-06
Q9BXV9,1,5.49E-05,0,0.221867955,0.000170153
A0A0C4DGM4,3,0.0001646,5.31E-07,0.251764807,0.000903894
Q9NW61,6,0.0003292,1.62E-05,0.263067164,0.001527717
O96028-1,1,5.49E-05,0,0.197099008,2.59E-06
O76064-1,1,5.49E-05,0,0.197099008,2.59E-06
O43070,1,5.49E-05,0,0.197099008,2.59E-06
Q8WTR4-3,1,5.49E-05,0,0.208778602,2.43E-05
P22892,1,5.49E-05,0,0.208778602,2.43E-05
O88384,1,5.49E-05,0,0.208778602,2.43E-05
PRO_0000037943 [P29991],1,5.49E-05,0,0.208778602,2.43E-05
Q7Z4S6,3,0.0001646,8.81E-08,0.207139695,1.39E-05
Q14680,1,5.49E-05,0,0.209430468,2.22E-05
Q62356,1,5.49E-05,0,0.221549095,7.36E-05
Q14691,2,0.000109733,1.44E-06,0.204638427,1.25E-05
Q14692,1,5.49E-05,0,0.201577606,1.65E-05
Q9UN86,6,0.0003292,7.16E-06,0.250024027,0.000547171
Q9UN86-2,3,0.0001646,3.74E-07,0.241307448,0.000460171
Q9H221,3,0.0001646,0.000114993,0.22900624,0.000111142
Q9NX38,4,0.000219467,6.45E-06,0.24382173,0.00050055
Q8N6N7,2,0.000109733,1.38E-06,0.24558327,0.000560392
Q5T1N1-2,1,5.49E-05,0,0.227730191,0.00011064
Q8WUF8,1,5.49E-05,0,0.227730191,0.00011064
Q9HAS0,3,0.0001646,2.52E-06,0.244885163,0.000259936
Q86UT8,6,0.0003292,1.04E-05,0.243770998,0.000422789
Q96BP2,3,0.0001646,1.21E-05,0.23311012,0.000169588
Q96I36,1,5.49E-05,0,0.227730191,0.00011064
Q9HBI6,1,5.49E-05,0,0.227730191,0.00011064
Q9NXL9-3,1,5.49E-05,0,0.227730191,0.00011064
A0A1B0GUV7,4,0.000219467,2.40E-06,0.239733976,0.000379197
Q9BQ50,1,5.49E-05,0,0.227730191,0.00011064
Q6ZR52-3,2,0.000109733,0,0.231275597,0.000160167
Q14697,1,5.49E-05,0,9.88E-05,7.04E-29
Q8NAF0,2,0.000109733,7.13E-07,0.19958818,3.17E-06
Q14746,7,0.000384067,4.34E-06,0.257067987,0.002694627
O60931-2,1,5.49E-05,0,0.210033689,1.97E-05
Q9UN88,1,5.49E-05,0,0.210033689,1.97E-05
Q13066,2,0.000109733,1.23E-06,0.23490802,0.000232525
A0A0S2Z5F2,1,5.49E-05,0,0.210033689,1.97E-05
Q14764,8,0.000438933,5.56E-06,0.265748357,0.001838263
Q14766,2,0.000109733,5.92E-07,0.229275131,0.000196822
Q14767,1,5.49E-05,0,0.222159646,6.95E-05
Q14773,6,0.0003292,5.69E-07,0.267377772,0.006717859
PRO_0000004631 [Q14790],1,5.49E-05,0,0.217571946,1.32E-05
Q147X3,1,5.49E-05,0,0.175707761,3.69E-07
Q5VZE5,3,0.0001646,0.000107977,0.21399794,2.91E-05
Q14802,56,0.003072534,0.000114748,0.262238884,0.001621818
P70326,1,5.49E-05,0,0.190107731,1.46E-06
Q9UDY2,1,5.49E-05,0,0.24749935,0.000516893
Q03828,11,0.000603533,2.04E-05,0.258558149,0.002833085
Q3LI73,6,0.0003292,3.88E-07,0.255498289,0.001555171
Q8N350,11,0.000603533,7.50E-05,0.255119966,0.000477804
Q14872,1,5.49E-05,0,0.234647691,0.000288294
Q14896,2,0.000109733,8.32E-06,0.229245223,0.000226283
Q14914,1,5.49E-05,0,0.244752153,0.000378942
Q14938,5,0.000274333,6.84E-05,0.245820297,0.000356824
Q8N883,3,0.0001646,5.63E-06,0.239267231,0.000253863
A0A583ZBW8,1,5.49E-05,0,0.158278143,1.60E-08
Q14966,2,0.000109733,2.70E-08,0.239622836,0.000216207
Q9NZC3,2,0.000109733,0.000107752,0.214104833,2.60E-05
